date,pm25,pm10,o3,no2,so2,co,dd,mm,yy
2016-10-29,106.5,104.0,18.0,20.0,10.0,13.0,29,10,2016
2016-10-30,137.0,167.0,16.0,20.0,13.0,13.0,30,10,2016
2016-10-31,169.0,119.0,19.0,20.0,18.0,13.0,31,10,2016
2016-11-01,147.0,92.0,21.0,21.0,8.0,10.0,1,11,2016
2016-11-02,135.0,86.0,26.0,20.0,5.0,10.0,2,11,2016
2016-11-03,123.0,113.0,27.0,20.0,7.0,10.0,3,11,2016
2016-11-04,125.0,138.0,24.0,20.0,7.0,10.0,4,11,2016
2016-11-05,126.0,138.0,32.0,20.0,6.0,10.0,5,11,2016
2016-11-06,114.0,138.0,23.0,20.0,7.0,13.0,6,11,2016
2016-11-07,129.0,138.0,15.0,20.0,7.0,12.0,7,11,2016
2016-11-08,113.0,116.0,23.0,20.0,7.0,10.0,8,11,2016
2016-11-09,108.0,122.0,21.0,20.0,7.0,10.0,9,11,2016
2016-11-10,117.0,138.0,14.0,19.0,8.0,15.0,10,11,2016
2016-11-11,135.0,144.0,11.0,16.0,6.0,13.0,11,11,2016
2016-11-12,126.0,133.0,17.0,16.0,6.0,11.0,12,11,2016
2016-11-13,124.0,142.0,20.0,11.0,8.0,13.0,13,11,2016
2016-11-14,142.0,158.0,15.0,1.0,6.0,12.0,14,11,2016
2016-11-15,156.0,138.0,22.0,2.0,8.0,14.0,15,11,2016
2016-11-16,154.0,169.0,17.0,2.0,8.0,14.0,16,11,2016
2016-11-17,145.0,138.0,10.0,9.0,7.0,12.0,17,11,2016
2016-11-18,110.0,169.0,18.0,8.0,7.0,13.0,18,11,2016
2016-11-19,130.0,145.0,26.0,8.0,7.0,15.0,19,11,2016
2016-11-20,67.0,144.0,10.0,8.0,7.0,11.0,20,11,2016
2016-11-21,88.0,138.0,12.0,8.0,9.0,14.0,21,11,2016
2016-11-22,74.0,124.0,13.0,8.0,9.0,13.0,22,11,2016
2016-11-23,80.0,145.0,13.0,8.0,9.0,15.0,23,11,2016
2016-11-24,86.0,101.0,15.0,8.0,7.0,11.0,24,11,2016
2016-11-25,78.0,102.0,17.0,11.0,4.0,12.0,25,11,2016
2016-11-26,79.0,169.0,18.0,8.0,6.0,20.0,26,11,2016
2016-11-27,73.0,104.0,13.0,8.0,5.0,13.0,27,11,2016
2016-11-28,63.0,145.0,19.0,8.0,7.0,15.0,28,11,2016
2016-11-29,142.0,121.0,19.0,8.0,11.0,24.0,29,11,2016
2016-11-30,146.0,140.0,15.0,8.0,9.0,19.0,30,11,2016
2016-12-01,137.0,153.0,13.0,8.0,10.0,22.0,1,12,2016
2016-12-02,122.0,122.0,11.0,5.0,8.0,12.0,2,12,2016
2016-12-03,111.0,96.0,8.0,7.0,8.0,11.0,3,12,2016
2016-12-04,85.0,108.0,10.0,8.0,7.0,12.0,4,12,2016
2016-12-05,103.0,143.0,14.0,5.0,6.0,14.0,5,12,2016
2016-12-06,118.0,121.0,11.0,2.0,5.0,14.0,6,12,2016
2016-12-07,115.0,103.0,10.0,2.0,4.0,11.0,7,12,2016
2016-12-08,116.0,122.0,21.0,2.0,3.0,9.0,8,12,2016
2016-12-09,126.0,125.0,31.0,3.0,5.0,16.0,9,12,2016
2016-12-10,125.0,110.0,23.0,3.0,4.0,12.0,10,12,2016
2016-12-11,96.0,125.0,19.0,5.0,5.0,16.0,11,12,2016
2016-12-12,117.0,121.0,41.0,3.0,5.0,18.0,12,12,2016
2016-12-13,71.0,114.0,29.0,3.0,6.0,15.0,13,12,2016
2016-12-14,68.0,101.0,21.0,4.0,6.0,16.0,14,12,2016
2016-12-15,62.0,114.0,27.0,4.0,6.0,15.0,15,12,2016
2016-12-16,78.0,106.0,30.0,4.0,6.0,14.0,16,12,2016
2016-12-17,70.0,79.0,14.0,4.0,6.0,13.0,17,12,2016
2016-12-18,37.0,111.0,27.0,3.0,16.0,13.0,18,12,2016
2016-12-19,94.0,118.0,25.0,5.0,7.0,13.0,19,12,2016
2016-12-20,157.0,123.0,35.0,5.0,7.0,18.0,20,12,2016
2016-12-21,165.0,127.0,36.0,6.0,7.0,17.0,21,12,2016
2016-12-22,167.0,139.0,30.0,6.0,7.0,19.0,22,12,2016
2016-12-23,181.0,132.0,28.0,6.0,7.0,18.0,23,12,2016
2016-12-24,169.0,141.0,17.0,6.0,7.0,20.0,24,12,2016
2016-12-25,168.0,132.0,28.0,6.0,8.0,20.0,25,12,2016
