date,pm25,pm10,o3,no2,so2,co,dd,mm,yy
2018-11-28,299.0,394.0,9.0,7.0,12.0,24.0,28,11,2018
2018-11-29,342.0,300.0,14.0,4.0,12.0,17.0,29,11,2018
2018-11-30,299.0,274.0,17.0,2.0,13.0,16.0,30,11,2018
2018-12-01,255.0,371.0,22.0,1.0,14.0,24.0,1,12,2018
2018-12-02,302.0,399.0,17.0,31.0,15.0,25.0,2,12,2018
2018-12-03,317.0,462.0,13.0,1.0,13.0,35.0,3,12,2018
2018-12-04,348.0,312.0,14.0,31.0,13.0,20.0,4,12,2018
2018-12-05,286.0,411.0,14.0,9.0,13.0,26.0,5,12,2018
2018-12-06,349.0,319.0,13.0,8.0,14.0,17.0,6,12,2018
2018-12-07,305.0,309.0,16.0,7.0,15.0,16.0,7,12,2018
2018-12-08,311.0,312.0,19.0,6.0,14.0,19.0,8,12,2018
2018-12-09,314.0,546.0,23.0,6.0,14.0,22.0,9,12,2018
2018-12-10,425.0,544.0,20.0,6.0,13.0,28.0,10,12,2018
2018-12-11,421.0,370.0,9.0,7.0,12.0,22.0,11,12,2018
2018-12-12,349.0,118.0,9.0,10.0,10.0,11.0,12,12,2018
2018-12-13,183.0,165.0,8.0,17.0,9.0,12.0,13,12,2018
2018-12-14,220.0,148.0,10.0,24.0,8.0,11.0,14,12,2018
2018-12-15,206.0,206.0,20.0,32.0,10.0,12.0,15,12,2018
2018-12-16,253.0,258.0,17.0,30.0,10.0,15.0,16,12,2018
2018-12-17,274.0,294.0,23.0,28.0,11.0,15.0,17,12,2018
2018-12-18,290.0,374.0,21.0,34.0,13.0,17.0,18,12,2018
2018-12-19,338.0,474.0,20.0,34.0,12.0,25.0,19,12,2018
2018-12-20,383.0,391.0,22.0,39.0,10.0,18.0,20,12,2018
2018-12-21,366.0,554.0,22.0,52.0,13.0,20.0,21,12,2018
2018-12-22,460.0,785.0,21.0,59.0,13.0,34.0,22,12,2018
2018-12-23,581.0,630.0,26.0,44.0,11.0,35.0,23,12,2018
2018-12-24,506.0,364.0,15.0,34.0,9.0,17.0,24,12,2018
2018-12-25,386.0,416.0,17.0,33.0,9.0,19.0,25,12,2018
2018-12-26,394.0,520.0,10.0,38.0,10.0,32.0,26,12,2018
2018-12-27,413.0,342.0,13.0,33.0,9.0,14.0,27,12,2018
2018-12-28,364.0,425.0,15.0,46.0,12.0,18.0,28,12,2018
2018-12-29,387.0,565.0,15.0,45.0,13.0,28.0,29,12,2018
2018-12-30,450.0,382.5,16.5,31.0,12.0,19.5,30,12,2018
