date,pm25,o3,no2,so2,co,dd,mm,yy
2016-04-16,145.0,11.0,5.0,1.0,3.0,16,4,2016
2016-04-17,104.0,13.0,5.0,1.0,5.0,17,4,2016
2016-04-18,131.0,14.0,5.0,1.0,5.0,18,4,2016
2016-04-19,155.0,16.0,6.0,1.0,5.0,19,4,2016
2016-04-20,141.0,21.0,4.0,1.0,4.0,20,4,2016
2016-04-21,139.0,29.0,5.0,1.0,5.0,21,4,2016
2016-04-22,96.0,31.0,4.0,1.0,4.0,22,4,2016
2016-04-23,102.0,32.0,3.0,1.0,4.0,23,4,2016
2016-04-24,149.0,22.0,4.0,1.0,4.0,24,4,2016
2016-04-25,145.0,14.0,5.0,1.0,7.0,25,4,2016
2016-04-26,113.0,20.0,5.0,1.0,4.0,26,4,2016
2016-04-27,130.0,13.0,6.0,1.0,4.0,27,4,2016
2016-04-28,97.0,16.0,6.0,1.0,6.0,28,4,2016
2016-04-29,87.0,18.0,6.0,1.0,4.0,29,4,2016
2016-04-30,112.0,31.0,6.0,1.0,5.0,30,4,2016
2016-05-01,112.0,29.0,5.0,1.0,5.0,1,5,2016
2016-05-02,118.0,21.0,6.0,1.0,4.0,2,5,2016
2016-05-03,105.0,16.0,6.0,1.0,6.0,3,5,2016
2016-05-04,107.0,15.0,7.0,1.0,5.0,4,5,2016
2016-05-05,106.0,25.0,6.0,1.0,5.0,5,5,2016
2016-05-06,115.0,29.0,6.0,1.0,6.0,6,5,2016
2016-05-07,96.0,19.0,6.0,1.0,6.0,7,5,2016
2016-05-08,98.0,11.0,5.0,1.0,6.0,8,5,2016
2016-05-09,111.0,14.0,5.0,1.0,5.0,9,5,2016
2016-05-10,139.0,22.0,6.0,1.0,6.0,10,5,2016
2016-05-11,120.0,24.0,6.0,1.0,5.0,11,5,2016
2016-05-12,126.0,26.0,6.0,1.0,6.0,12,5,2016
2016-05-13,167.0,22.0,6.0,1.0,4.0,13,5,2016
2016-05-14,162.0,24.0,5.0,1.0,3.0,14,5,2016
2016-05-15,157.0,31.0,7.0,1.0,4.0,15,5,2016
2016-05-16,160.0,24.0,11.0,1.0,5.0,16,5,2016
2016-05-17,139.0,16.0,10.0,1.0,7.0,17,5,2016
2016-05-18,123.0,24.0,11.0,1.0,7.0,18,5,2016
2016-05-19,137.0,25.0,11.0,1.0,6.0,19,5,2016
2016-05-20,113.0,28.0,9.0,1.0,6.0,20,5,2016
2016-05-21,135.0,35.0,7.0,1.0,5.0,21,5,2016
2016-05-22,145.0,35.0,8.0,1.0,5.0,22,5,2016
2016-05-23,142.0,37.0,7.0,1.0,5.0,23,5,2016
2016-05-24,124.0,29.0,9.0,1.0,7.0,24,5,2016
2016-05-25,124.0,28.0,8.0,1.0,6.0,25,5,2016
2016-05-26,138.0,35.0,6.0,1.0,5.0,26,5,2016
2016-05-27,151.0,45.0,7.0,1.0,6.0,27,5,2016
2016-05-28,148.0,50.0,6.0,1.0,4.0,28,5,2016
2016-05-29,111.0,39.0,4.0,1.0,6.0,29,5,2016
2016-05-30,123.0,49.0,4.0,1.0,5.0,30,5,2016
2016-05-31,148.0,40.0,4.0,2.0,7.0,31,5,2016
2016-06-01,145.0,22.0,5.0,2.0,7.0,1,6,2016
2016-06-02,151.0,20.0,6.0,1.0,6.0,2,6,2016
2016-06-03,127.0,20.0,6.0,1.0,6.0,3,6,2016
2016-06-04,127.0,20.0,6.0,1.0,6.0,4,6,2016
2016-06-05,127.0,20.0,6.0,1.0,6.0,5,6,2016
2016-06-06,127.0,20.0,6.0,1.0,6.0,6,6,2016
2016-06-07,127.0,20.0,6.0,1.0,6.0,7,6,2016
2016-06-08,127.0,20.0,6.0,1.0,6.0,8,6,2016
2016-06-09,127.0,20.0,6.0,1.0,6.0,9,6,2016
2016-06-10,127.0,20.0,6.0,1.0,6.0,10,6,2016
2016-06-11,127.0,20.0,6.0,1.0,6.0,11,6,2016
2016-06-12,127.0,20.0,6.0,1.0,6.0,12,6,2016
2016-06-13,127.0,10.0,6.0,1.0,8.0,13,6,2016
2016-06-14,127.0,20.0,7.0,1.0,6.0,14,6,2016
2016-06-15,125.0,15.0,6.0,1.0,6.0,15,6,2016
2016-06-16,104.0,25.0,5.0,1.0,7.0,16,6,2016
2016-06-17,137.0,23.0,5.0,1.0,6.0,17,6,2016
2016-06-18,139.0,39.0,4.0,1.0,5.0,18,6,2016
2016-06-19,131.0,32.0,3.0,1.0,4.0,19,6,2016
2016-06-20,127.0,32.0,5.0,1.0,5.0,20,6,2016
2016-06-21,126.0,23.0,6.0,1.0,8.0,21,6,2016
2016-06-22,121.0,15.0,6.0,1.0,6.0,22,6,2016
