date, pm25, pm10, o3, no2, co
21-03-19,49,56,95,37,85
20-03-19,41,66,132,38,89
19-03-19,54,70,164,39,48
18-03-19,47,85,153,38,31
17-03-19,50,76,168,38,31
16-03-19,53,81,162,38,40
15-03-19,47,91,132,39,32
14-03-19,50,74,108,38,29
13-03-19,56,72,96,38,30
12-03-19,53,86,98,38,30
11-03-19,55,89,91,38,34
10-03-19,59,92,97,38,35
09-03-19,58,96,139,38,38
08-03-19,50,93,126,39,41
07-03-19,41,83,129,39,42
06-03-19,47,75,96,40,43
05-03-19,41,59,36,42,25
04-03-19,31,55,42,42,21
03-03-19,52,47,101,38,25
02-03-19,74,83,125,39,39
01-03-19,79,117,126,42,47
28-02-19,62,106,66,39,38
27-02-19,47,91,62,39,30
26-02-19,44,78,50,40,29
25-02-19,49,72,80,39,36
24-02-19,53,74,109,38,42
23-02-19,59,84,110,39,46
22-02-19,60,82,90,38,49
21-02-19,64,82,111,35,49
20-02-19,66,89,121,35,50
19-02-19,65,104,122,35,45
18-02-19,61,101,147,35,46
17-02-19,62,95,147,35,44
16-02-19,52,96,133,35,42
15-02-19,51,87,93,34,45
14-02-19,59,55,70,31,54
13-02-19,72,59,89,30,61
12-02-19,84,71,82,30,68
11-02-19,103,68,81,30,65
10-02-19,89,78,91,32,58
09-02-19,70,129,96,34,44
08-02-19,42,110,76,32,20
07-02-19,57,66,83,32,10
06-02-19,68,88,79,33,21
05-02-19,64,106,91,33,28
04-02-19,63,111,79,34,27
03-02-19,65,102,80,33,27
02-02-19,71,104,89,32,28
01-02-19,84,110,94,33,28
31-01-19,73,127,102,34,27
30-01-19,64,117,95,33,21
29-01-19,49,107,87,33,17
28-01-19,66,84,82,32,18
27-01-19,67,98,75,32,17
26-01-19,57,102,70,32,16
25-01-19,55,95,77,32,15
24-01-19,44,87,87,32,18
23-01-19,48,69,83,32,22
22-01-19,81,73,55,32,29
21-01-19,101,99,52,33,37
20-01-19,111,150,41,34,39
19-01-19,103,179,95,34,49
18-01-19,80,150,77,34,51
17-01-19,74,126,79,35,58
16-01-19,81,122,32,35,46
15-01-19,81,124,76,34,48
14-01-19,82,117,81,33,55
13-01-19,97,117,96,34,57
12-01-19,102,130,101,34,59
11-01-19,110,132,84,34,63
10-01-19,128,142,107,35,65
09-01-19,112,156,96,37,65
